净值日期,净值日期,单位净值,日增长率
2008-04-16,2008-04-16,1.0,0.0
2008-04-18,2008-04-18,0.996,-0.4
2008-04-25,2008-04-25,1.034,3.8153
2008-04-30,2008-04-30,1.056,2.1277
2008-05-09,2008-05-09,1.05,-0.5682
2008-05-12,2008-05-12,1.055,0.4762
2008-05-13,2008-05-13,1.054,-0.0948
2008-05-14,2008-05-14,1.074,1.8975
2008-05-15,2008-05-15,1.063,-1.0242
2008-05-16,2008-05-16,1.055,-0.7526
2008-05-19,2008-05-19,1.048,-0.6635
2008-05-20,2008-05-20,1.0,-4.5802
2008-05-21,2008-05-21,1.009,0.9
2008-05-22,2008-05-22,0.985,-2.3786
2008-05-23,2008-05-23,0.978,-0.7107
2008-05-26,2008-05-26,0.956,-2.2495
2008-05-27,2008-05-27,0.959,0.3138
2008-05-28,2008-05-28,0.986,2.8154
2008-05-29,2008-05-29,0.961,-2.5355
2008-05-30,2008-05-30,0.965,0.4162
2008-06-02,2008-06-02,0.964,-0.1036
2008-06-03,2008-06-03,0.957,-0.7261
2008-06-04,2008-06-04,0.94,-1.7764
2008-06-05,2008-06-05,0.927,-1.383
2008-06-06,2008-06-06,0.927,0.0
2008-06-10,2008-06-10,0.861,-7.1197
2008-06-11,2008-06-11,0.845,-1.8583
2008-06-12,2008-06-12,0.833,-1.4201
2008-06-13,2008-06-13,0.811,-2.6411
2008-06-16,2008-06-16,0.807,-0.4932
2008-06-17,2008-06-17,0.789,-2.2305
2008-06-18,2008-06-18,0.823,4.3093
2008-06-19,2008-06-19,0.777,-5.5893
2008-06-20,2008-06-20,0.791,1.8018
2008-06-23,2008-06-23,0.774,-2.1492
2008-06-24,2008-06-24,0.791,2.1964
2008-06-25,2008-06-25,0.819,3.5398
2008-06-26,2008-06-26,0.822,0.3663
2008-06-27,2008-06-27,0.788,-4.1363
2008-06-30,2008-06-30,0.783,-0.6345
2008-07-01,2008-07-01,0.765,-2.2989
2008-07-02,2008-07-02,0.767,0.2614
2008-07-03,2008-07-03,0.786,2.4772
2008-07-04,2008-07-04,0.784,-0.2545
2008-07-07,2008-07-07,0.817,4.2092
2008-07-08,2008-07-08,0.825,0.9792
2008-07-09,2008-07-09,0.846,2.5455
2008-07-10,2008-07-10,0.843,-0.3546
2008-07-11,2008-07-11,0.838,-0.5931
2008-07-14,2008-07-14,0.849,1.3126
2008-07-15,2008-07-15,0.823,-3.0624
2008-07-16,2008-07-16,0.798,-3.0377
2008-07-17,2008-07-17,0.792,-0.7519
2008-07-18,2008-07-18,0.81,2.2727
2008-07-21,2008-07-21,0.832,2.716
2008-07-22,2008-07-22,0.83,-0.2404
2008-07-23,2008-07-23,0.821,-1.0843
2008-07-24,2008-07-24,0.837,1.9488
2008-07-25,2008-07-25,0.835,-0.2389
2008-07-28,2008-07-28,0.838,0.3593
