净值日期,净值日期,单位净值,日增长率
2011-09-29,2011-09-29,1.0,0.0
2011-09-30,2011-09-30,1.0,0.0
2011-10-14,2011-10-14,1.001,0.1
2011-10-21,2011-10-21,1.001,0.0
2011-10-24,2011-10-24,1.001,0.0
2011-10-25,2011-10-25,1.001,0.0
2011-10-26,2011-10-26,1.004,0.2997
2011-10-27,2011-10-27,1.011,0.6972
2011-10-28,2011-10-28,1.012,0.0989
2011-10-31,2011-10-31,1.001,-1.087
2011-11-01,2011-11-01,0.993,-0.7992
2011-11-02,2011-11-02,1.001,0.8056
2011-11-03,2011-11-03,1.003,0.1998
2011-11-04,2011-11-04,1.005,0.1994
2011-11-07,2011-11-07,1.006,0.0995
2011-11-08,2011-11-08,1.009,0.2982
2011-11-09,2011-11-09,0.993,-1.5857
2011-11-10,2011-11-10,0.999,0.6042
2011-11-11,2011-11-11,1.005,0.6006
2011-11-14,2011-11-14,0.999,-0.597
2011-11-15,2011-11-15,1.003,0.4004
2011-11-16,2011-11-16,0.999,-0.3988
2011-11-17,2011-11-17,0.988,-1.1011
2011-11-18,2011-11-18,0.987,-0.1012
2011-11-21,2011-11-21,0.981,-0.6079
2011-11-22,2011-11-22,0.979,-0.2039
2011-11-23,2011-11-23,0.968,-1.1236
2011-11-24,2011-11-24,0.968,0.0
2011-11-25,2011-11-25,0.963,-0.5165
2011-11-28,2011-11-28,0.98,1.7653
2011-11-29,2011-11-29,0.985,0.5102
2011-11-30,2011-11-30,1.005,2.0305
2011-12-01,2011-12-01,1.002,-0.2985
2011-12-02,2011-12-02,1.005,0.2994
2011-12-05,2011-12-05,1.011,0.597
2011-12-06,2011-12-06,1.013,0.1978
2011-12-07,2011-12-07,1.007,-0.5923
2011-12-08,2011-12-08,0.987,-1.9861
2011-12-09,2011-12-09,1.001,1.4184
2011-12-12,2011-12-12,0.985,-1.5984
2011-12-13,2011-12-13,0.973,-1.2183
2011-12-14,2011-12-14,0.955,-1.8499
2011-12-15,2011-12-15,0.955,0.0
2011-12-16,2011-12-16,0.963,0.8377
2011-12-19,2011-12-19,0.949,-1.4538
2011-12-20,2011-12-20,0.971,2.3182
2011-12-21,2011-12-21,0.976,0.5149
2011-12-22,2011-12-22,0.982,0.6148
2011-12-23,2011-12-23,0.982,0.0
2011-12-26,2011-12-26,0.982,0.0
2011-12-27,2011-12-27,0.986,0.4073
2011-12-28,2011-12-28,0.973,-1.3185
2011-12-29,2011-12-29,0.98,0.7194
2011-12-30,2011-12-30,0.978,-0.2041
2011-12-31,2011-12-31,0.978,0.0
2012-01-04,2012-01-04,1.001,2.3517
2012-01-05,2012-01-05,1.001,0.0
2012-01-06,2012-01-06,0.996,-0.4995
2012-01-09,2012-01-09,0.993,-0.3012
2012-01-10,2012-01-10,0.999,0.6042
2012-01-11,2012-01-11,0.986,-1.3013
2012-01-12,2012-01-12,0.981,-0.5071
2012-01-13,2012-01-13,0.969,-1.2232
2012-01-16,2012-01-16,0.97,0.1032
2012-01-17,2012-01-17,0.975,0.5155
2012-01-18,2012-01-18,0.991,1.641
2012-01-19,2012-01-19,0.985,-0.6054
2012-01-20,2012-01-20,0.981,-0.4061
2012-01-30,2012-01-30,0.994,1.3252
2012-01-31,2012-01-31,0.99,-0.4024
2012-02-01,2012-02-01,0.988,-0.202
2012-02-02,2012-02-02,0.993,0.5061
2012-02-03,2012-02-03,1.006,1.3092
2012-02-06,2012-02-06,1.02,1.3917
2012-02-07,2012-02-07,1.029,0.8824
2012-02-08,2012-02-08,1.028,-0.0972
2012-02-09,2012-02-09,1.028,0.0
2012-02-10,2012-02-10,1.019,-0.8755
2012-02-13,2012-02-13,1.03,1.0795
2012-02-14,2012-02-14,1.037,0.6796
2012-02-15,2012-02-15,1.044,0.675
2012-02-16,2012-02-16,1.059,1.4368
2012-02-17,2012-02-17,1.062,0.2833
2012-02-20,2012-02-20,1.062,0.0
2012-02-21,2012-02-21,1.068,0.565
2012-02-22,2012-02-22,1.058,-0.9363
2012-02-23,2012-02-23,1.073,1.4178
2012-02-24,2012-02-24,1.075,0.1864
2012-02-27,2012-02-27,1.07,-0.4651
2012-02-28,2012-02-28,1.059,-1.028
2012-02-29,2012-02-29,1.04,-1.7941
2012-03-01,2012-03-01,1.058,1.7308
2012-03-02,2012-03-02,1.037,-1.9849
2012-03-05,2012-03-05,1.028,-0.8679
2012-03-06,2012-03-06,1.008,-1.9455
2012-03-07,2012-03-07,1.026,1.7857
2012-03-08,2012-03-08,1.041,1.462
2012-03-09,2012-03-09,1.044,0.2882
2012-03-12,2012-03-12,1.035,-0.8621
2012-03-13,2012-03-13,1.05,1.4493
2012-03-14,2012-03-14,1.039,-1.0476
2012-03-15,2012-03-15,1.046,0.6737
2012-03-16,2012-03-16,1.064,1.7208
2012-03-19,2012-03-19,1.073,0.8459
2012-03-20,2012-03-20,1.051,-2.0503
2012-03-21,2012-03-21,1.046,-0.4757
2012-03-22,2012-03-22,1.015,-2.9637
2012-03-23,2012-03-23,1.032,1.6749
2012-03-26,2012-03-26,1.037,0.4845
2012-03-27,2012-03-27,1.024,-1.2536
2012-03-28,2012-03-28,1.006,-1.7578
2012-03-29,2012-03-29,0.998,-0.7952
2012-03-30,2012-03-30,1.003,0.501
2012-03-31,2012-03-31,1.003,0.0
2012-04-05,2012-04-05,0.981,-2.1934
2012-04-06,2012-04-06,0.981,0.0
2012-04-09,2012-04-09,0.966,-1.5291
2012-04-10,2012-04-10,0.942,-2.4845
2012-04-11,2012-04-11,0.935,-0.7431
2012-04-12,2012-04-12,0.964,3.1016
2012-04-13,2012-04-13,0.942,-2.2822
2012-04-16,2012-04-16,0.929,-1.38
2012-04-17,2012-04-17,0.943,1.507
2012-04-18,2012-04-18,0.932,-1.1665
2012-04-19,2012-04-19,0.939,0.7511
2012-04-20,2012-04-20,0.933,-0.639
2012-04-23,2012-04-23,0.929,-0.4287
2012-04-24,2012-04-24,0.937,0.8611
2012-04-25,2012-04-25,0.962,2.6681
2012-04-26,2012-04-26,0.977,1.5593
2012-04-27,2012-04-27,0.981,0.4094
2012-05-02,2012-05-02,0.971,-1.0194
2012-05-03,2012-05-03,0.947,-2.4717
2012-05-04,2012-05-04,0.926,-2.2175
2012-05-07,2012-05-07,0.927,0.108
2012-05-08,2012-05-08,0.925,-0.2157
2012-05-09,2012-05-09,0.925,0.0
2012-05-10,2012-05-10,0.924,-0.1081
2012-05-11,2012-05-11,0.913,-1.1905
2012-05-14,2012-05-14,0.895,-1.9715
2012-05-15,2012-05-15,0.871,-2.6816
2012-05-16,2012-05-16,0.865,-0.6889
2012-05-17,2012-05-17,0.852,-1.5029
2012-05-18,2012-05-18,0.846,-0.7042
2012-05-21,2012-05-21,0.882,4.2553
2012-05-22,2012-05-22,0.87,-1.3605
2012-05-23,2012-05-23,0.881,1.2644
2012-05-24,2012-05-24,0.869,-1.3621
2012-05-25,2012-05-25,0.871,0.2301
2012-05-28,2012-05-28,0.871,0.0
2012-05-29,2012-05-29,0.894,2.6406
2012-05-30,2012-05-30,0.861,-3.6913
2012-05-31,2012-05-31,0.857,-0.4646
2012-06-01,2012-06-01,0.817,-4.6674
2012-06-04,2012-06-04,0.812,-0.612
2012-06-05,2012-06-05,0.828,1.9704
2012-06-06,2012-06-06,0.858,3.6232
2012-06-07,2012-06-07,0.849,-1.049
2012-06-08,2012-06-08,0.848,-0.1178
2012-06-11,2012-06-11,0.823,-2.9481
2012-06-12,2012-06-12,0.838,1.8226
2012-06-13,2012-06-13,0.816,-2.6253
2012-06-14,2012-06-14,0.833,2.0833
2012-06-15,2012-06-15,0.853,2.401
2012-06-18,2012-06-18,0.837,-1.8757
2012-06-19,2012-06-19,0.855,2.1505
2012-06-20,2012-06-20,0.848,-0.8187
2012-06-21,2012-06-21,0.807,-4.8349
2012-06-25,2012-06-25,0.809,0.2478
2012-06-26,2012-06-26,0.821,1.4833
2012-06-27,2012-06-27,0.849,3.4105
2012-06-28,2012-06-28,0.86,1.2956
2012-06-29,2012-06-29,0.893,3.8372
2012-06-30,2012-06-30,0.893,0.0
2012-07-02,2012-07-02,0.895,0.224
2012-07-03,2012-07-03,0.924,3.2402
2012-07-04,2012-07-04,0.924,0.0
2012-07-05,2012-07-05,0.906,-1.9481
2012-07-06,2012-07-06,0.895,-1.2141
2012-07-09,2012-07-09,0.892,-0.3352
2012-07-10,2012-07-10,0.864,-3.139
2012-07-11,2012-07-11,0.876,1.3889
2012-07-12,2012-07-12,0.867,-1.0274
2012-07-13,2012-07-13,0.884,1.9608
2012-07-16,2012-07-16,0.888,0.4525
2012-07-17,2012-07-17,0.901,1.464
2012-07-18,2012-07-18,0.907,0.6659
2012-07-19,2012-07-19,0.914,0.7718
2012-07-20,2012-07-20,0.913,-0.1094
2012-07-23,2012-07-23,0.895,-1.9715
2012-07-24,2012-07-24,0.876,-2.1229
2012-07-25,2012-07-25,0.873,-0.3425
2012-07-26,2012-07-26,0.889,1.8328
2012-07-27,2012-07-27,0.911,2.4747
2012-07-30,2012-07-30,0.918,0.7684
2012-07-31,2012-07-31,0.905,-1.4161
2012-08-01,2012-08-01,0.906,0.1105
2012-08-02,2012-08-02,0.875,-3.4216
2012-08-03,2012-08-03,0.899,2.7429
2012-08-06,2012-08-06,0.911,1.3348
2012-08-07,2012-08-07,0.932,2.3052
2012-08-08,2012-08-08,0.933,0.1073
2012-08-09,2012-08-09,0.944,1.179
2012-08-10,2012-08-10,0.942,-0.2119
2012-08-13,2012-08-13,0.93,-1.2739
2012-08-14,2012-08-14,0.94,1.0753
2012-08-15,2012-08-15,0.946,0.6383
2012-08-16,2012-08-16,0.958,1.2685
2012-08-17,2012-08-17,0.955,-0.3132
2012-08-20,2012-08-20,0.949,-0.6283
2012-08-21,2012-08-21,0.945,-0.4215
2012-08-22,2012-08-22,0.945,0.0
2012-08-23,2012-08-23,0.924,-2.2222
2012-08-24,2012-08-24,0.93,0.6494
2012-08-27,2012-08-27,0.933,0.3226
2012-08-28,2012-08-28,0.941,0.8574
2012-08-29,2012-08-29,0.934,-0.7439
2012-08-30,2012-08-30,0.919,-1.606
2012-08-31,2012-08-31,0.93,1.197
2012-09-03,2012-09-03,0.929,-0.1075
2012-09-04,2012-09-04,0.929,0.0
2012-09-05,2012-09-05,0.932,0.3229
2012-09-06,2012-09-06,0.955,2.4678
2012-09-07,2012-09-07,0.978,2.4084
2012-09-10,2012-09-10,0.969,-0.9202
2012-09-11,2012-09-11,0.988,1.9608
2012-09-12,2012-09-12,0.993,0.5061
2012-09-13,2012-09-13,1.013,2.0141
2012-09-14,2012-09-14,1.037,2.3692
2012-09-17,2012-09-17,1.021,-1.5429
2012-09-18,2012-09-18,1.003,-1.763
2012-09-19,2012-09-19,0.997,-0.5982
2012-09-20,2012-09-20,0.999,0.2006
2012-09-21,2012-09-21,1.005,0.6006
2012-09-24,2012-09-24,0.993,-1.194
2012-09-25,2012-09-25,0.979,-1.4099
2012-09-26,2012-09-26,0.963,-1.6343
2012-09-27,2012-09-27,0.984,2.1807
2012-09-28,2012-09-28,0.981,-0.3049
2012-09-30,2012-09-30,0.981,0.0
2012-10-08,2012-10-08,0.976,-0.5097
2012-10-09,2012-10-09,0.991,1.5369
2012-10-10,2012-10-10,0.976,-1.5136
2012-10-11,2012-10-11,0.987,1.127
2012-10-12,2012-10-12,0.976,-1.1145
2012-10-15,2012-10-15,0.973,-0.3074
2012-10-16,2012-10-16,0.99,1.7472
2012-10-17,2012-10-17,1.002,1.2121
2012-10-18,2012-10-18,1.0,-0.1996
2012-10-19,2012-10-19,0.982,-1.8
2012-10-22,2012-10-22,0.97,-1.222
2012-10-23,2012-10-23,0.945,-2.5773
2012-10-24,2012-10-24,0.931,-1.4815
2012-10-25,2012-10-25,0.938,0.7519
2012-10-26,2012-10-26,0.943,0.533
2012-10-29,2012-10-29,0.942,-0.106
2012-10-30,2012-10-30,0.943,0.1062
2012-10-31,2012-10-31,0.94,-0.3181
2012-11-01,2012-11-01,0.949,0.9574
2012-11-02,2012-11-02,0.933,-1.686
2012-11-05,2012-11-05,0.944,1.179
2012-11-06,2012-11-06,0.957,1.3771
2012-11-07,2012-11-07,0.923,-3.5528
2012-11-08,2012-11-08,0.905,-1.9502
2012-11-09,2012-11-09,0.906,0.1105
2012-11-12,2012-11-12,0.899,-0.7726
2012-11-13,2012-11-13,0.9,0.1112
2012-11-14,2012-11-14,0.891,-1.0
2012-11-15,2012-11-15,0.887,-0.4489
2012-11-16,2012-11-16,0.894,0.7892
2012-11-19,2012-11-19,0.923,3.2438
2012-11-20,2012-11-20,0.92,-0.325
2012-11-21,2012-11-21,0.925,0.5435
2012-11-22,2012-11-22,0.925,0.0
2012-11-23,2012-11-23,0.937,1.2973
2012-11-26,2012-11-26,0.92,-1.8143
2012-11-27,2012-11-27,0.912,-0.8696
2012-11-28,2012-11-28,0.921,0.9868
2012-11-29,2012-11-29,0.928,0.76
2012-11-30,2012-11-30,0.924,-0.431
2012-12-03,2012-12-03,0.919,-0.5411
2012-12-04,2012-12-04,0.913,-0.6529
2012-12-05,2012-12-05,0.939,2.8478
2012-12-06,2012-12-06,0.939,0.0
2012-12-07,2012-12-07,0.946,0.7455
2012-12-10,2012-12-10,0.941,-0.5285
2012-12-11,2012-12-11,0.945,0.4251
2012-12-12,2012-12-12,0.947,0.2116
2012-12-13,2012-12-13,0.935,-1.2672
2012-12-14,2012-12-14,0.938,0.3209
2012-12-17,2012-12-17,0.948,1.0661
2012-12-18,2012-12-18,0.97,2.3207
2012-12-19,2012-12-19,0.962,-0.8247
2012-12-20,2012-12-20,0.969,0.7277
2012-12-21,2012-12-21,0.962,-0.7224
