净值日期,净值日期,单位净值,日增长率
2012-03-22,2012-03-22,1.0,0.0
2012-03-23,2012-03-23,0.9996,-0.04
2012-03-30,2012-03-30,0.9913,-0.8303
2012-04-06,2012-04-06,0.9984,0.7162
2012-04-13,2012-04-13,1.0062,0.7813
2012-04-20,2012-04-20,1.0106,0.4373
2012-04-27,2012-04-27,0.9908,-1.9592
2012-05-04,2012-05-04,1.0122,2.1599
2012-05-10,2012-05-10,1.014,0.1778
2012-05-11,2012-05-11,1.0077,-0.6213
2012-05-14,2012-05-14,1.0053,-0.2382
2012-05-15,2012-05-15,1.0011,-0.4178
2012-05-16,2012-05-16,0.9907,-1.0389
2012-05-17,2012-05-17,1.002,1.1406
2012-05-18,2012-05-18,0.9862,-1.5768
2012-05-21,2012-05-21,0.9833,-0.2941
2012-05-22,2012-05-22,0.9962,1.3119
2012-05-23,2012-05-23,0.9929,-0.3313
2012-05-24,2012-05-24,0.9896,-0.3324
2012-05-25,2012-05-25,0.9774,-1.2328
2012-05-28,2012-05-28,0.9871,0.9924
2012-05-29,2012-05-29,1.0055,1.864
2012-05-30,2012-05-30,1.0096,0.4078
2012-05-31,2012-05-31,1.0165,0.6834
2012-06-01,2012-06-01,1.0142,-0.2263
2012-06-04,2012-06-04,0.9849,-2.889
2012-06-05,2012-06-05,0.9842,-0.0711
2012-06-06,2012-06-06,0.9819,-0.2337
2012-06-07,2012-06-07,0.9767,-0.5296
2012-06-08,2012-06-08,0.9749,-0.1843
2012-06-11,2012-06-11,0.9938,1.9387
2012-06-12,2012-06-12,0.9916,-0.2214
2012-06-13,2012-06-13,1.009,1.7547
2012-06-14,2012-06-14,1.0043,-0.4658
2012-06-15,2012-06-15,1.006,0.1693
2012-06-18,2012-06-18,1.0174,1.1332
2012-06-19,2012-06-19,1.0137,-0.3637
2012-06-20,2012-06-20,1.0121,-0.1578
2012-06-21,2012-06-21,0.9982,-1.3734
2012-06-25,2012-06-25,0.9748,-2.3442
2012-06-26,2012-06-26,0.9722,-0.2667
2012-06-27,2012-06-27,0.9725,0.0309
2012-06-28,2012-06-28,0.9604,-1.2442
2012-06-29,2012-06-29,0.9739,1.4057
2012-06-30,2012-06-30,0.9736,-0.0308
2012-07-02,2012-07-02,0.9885,1.5304
2012-07-03,2012-07-03,0.9929,0.4451
2012-07-04,2012-07-04,0.987,-0.5942
2012-07-05,2012-07-05,0.966,-2.1277
