净值日期,净值日期,单位净值,日增长率
2012-12-10,2012-12-10,1.0,0.0
2012-12-14,2012-12-14,1.0,0.0
2012-12-21,2012-12-21,1.0,0.0
2012-12-28,2012-12-28,1.001,0.1
2012-12-31,2012-12-31,1.002,0.0999
2013-01-04,2013-01-04,1.002,0.0
2013-01-11,2013-01-11,1.002,0.0
2013-01-18,2013-01-18,1.002,0.0
2013-01-25,2013-01-25,1.002,0.0
2013-01-30,2013-01-30,1.003,0.0998
2013-01-31,2013-01-31,1.003,0.0
2013-02-01,2013-02-01,1.006,0.2991
2013-02-04,2013-02-04,1.007,0.0994
2013-02-05,2013-02-05,1.007,0.0
2013-02-06,2013-02-06,1.007,0.0
2013-02-07,2013-02-07,1.007,0.0
2013-02-08,2013-02-08,1.007,0.0
2013-02-18,2013-02-18,1.008,0.0993
2013-02-19,2013-02-19,1.008,0.0
2013-02-20,2013-02-20,1.008,0.0
2013-02-21,2013-02-21,1.008,0.0
2013-02-22,2013-02-22,1.008,0.0
2013-02-25,2013-02-25,1.008,0.0
2013-02-26,2013-02-26,1.008,0.0
2013-02-27,2013-02-27,1.008,0.0
2013-02-28,2013-02-28,1.008,0.0
2013-03-01,2013-03-01,1.008,0.0
2013-03-04,2013-03-04,1.008,0.0
2013-03-05,2013-03-05,1.008,0.0
2013-03-06,2013-03-06,1.008,0.0
2013-03-07,2013-03-07,1.003,-0.496
2013-03-08,2013-03-08,0.993,-0.997
2013-03-11,2013-03-11,0.996,0.3021
2013-03-12,2013-03-12,0.969,-2.7108
2013-03-13,2013-03-13,0.962,-0.7224
2013-03-14,2013-03-14,0.97,0.8316
2013-03-15,2013-03-15,0.973,0.3093
2013-03-18,2013-03-18,0.958,-1.5416
2013-03-19,2013-03-19,0.961,0.3132
2013-03-20,2013-03-20,0.984,2.3933
2013-03-21,2013-03-21,0.994,1.0163
2013-03-22,2013-03-22,0.997,0.3018
2013-03-25,2013-03-25,0.996,-0.1003
2013-03-26,2013-03-26,0.994,-0.2008
2013-03-27,2013-03-27,0.995,0.1006
2013-03-28,2013-03-28,0.973,-2.2111
2013-03-29,2013-03-29,0.973,0.0
2013-04-01,2013-04-01,0.975,0.2055
2013-04-02,2013-04-02,0.958,-1.7436
2013-04-03,2013-04-03,0.954,-0.4175
2013-04-08,2013-04-08,0.965,1.153
2013-04-09,2013-04-09,0.974,0.9326
2013-04-10,2013-04-10,0.971,-0.308
2013-04-11,2013-04-11,0.965,-0.6179
2013-04-12,2013-04-12,0.958,-0.7254
2013-04-15,2013-04-15,0.949,-0.9395
2013-04-16,2013-04-16,0.958,0.9484
2013-04-17,2013-04-17,0.97,1.2526
2013-04-18,2013-04-18,0.973,0.3093
2013-04-19,2013-04-19,0.99,1.7472
2013-04-22,2013-04-22,0.994,0.404
2013-04-23,2013-04-23,0.967,-2.7163
2013-04-24,2013-04-24,0.987,2.0683
2013-04-25,2013-04-25,0.975,-1.2158
2013-04-26,2013-04-26,0.967,-0.8205
2013-05-02,2013-05-02,0.968,0.1034
2013-05-03,2013-05-03,0.985,1.7562
2013-05-06,2013-05-06,1.006,2.132
2013-05-07,2013-05-07,1.004,-0.1988
2013-05-08,2013-05-08,1.015,1.0956
2013-05-09,2013-05-09,1.02,0.4926
2013-05-10,2013-05-10,1.024,0.3922
2013-05-13,2013-05-13,1.028,0.3906
2013-05-14,2013-05-14,1.018,-0.9728
2013-05-15,2013-05-15,1.035,1.6699
2013-05-16,2013-05-16,1.042,0.6763
2013-05-17,2013-05-17,1.058,1.5355
2013-05-20,2013-05-20,1.076,1.7013
2013-05-21,2013-05-21,1.093,1.5799
2013-05-22,2013-05-22,1.082,-1.0064
2013-05-23,2013-05-23,1.08,-0.1848
2013-05-24,2013-05-24,1.101,1.9444
2013-05-27,2013-05-27,1.11,0.8174
2013-05-28,2013-05-28,1.103,-0.6306
2013-05-29,2013-05-29,1.111,0.7253
2013-05-30,2013-05-30,1.115,0.36
2013-05-31,2013-05-31,1.104,-0.9865
2013-06-03,2013-06-03,1.092,-1.087
2013-06-04,2013-06-04,1.07,-2.0147
2013-06-05,2013-06-05,1.075,0.4673
2013-06-06,2013-06-06,1.06,-1.3953
2013-06-07,2013-06-07,1.044,-1.5094
2013-06-13,2013-06-13,1.019,-2.3946
2013-06-14,2013-06-14,1.044,2.4534
2013-06-17,2013-06-17,1.051,0.6705
2013-06-18,2013-06-18,1.051,0.0
2013-06-19,2013-06-19,1.049,-0.1903
2013-06-20,2013-06-20,1.012,-3.5272
2013-06-21,2013-06-21,1.009,-0.2964
2013-06-24,2013-06-24,0.953,-5.55
2013-06-25,2013-06-25,0.956,0.3148
2013-06-26,2013-06-26,0.984,2.9289
2013-06-27,2013-06-27,0.966,-1.8293
2013-06-28,2013-06-28,0.963,-0.3106
2013-06-30,2013-06-30,0.963,0.0
2013-07-01,2013-07-01,0.983,2.0768
2013-07-02,2013-07-02,1.0,1.7294
2013-07-03,2013-07-03,1.006,0.6
2013-07-04,2013-07-04,1.017,1.0934
2013-07-05,2013-07-05,1.009,-0.7866
2013-07-08,2013-07-08,0.972,-3.667
2013-07-09,2013-07-09,0.972,0.0
2013-07-10,2013-07-10,0.997,2.572
2013-07-11,2013-07-11,1.021,2.4072
2013-07-12,2013-07-12,1.019,-0.1959
2013-07-15,2013-07-15,1.04,2.0608
2013-07-16,2013-07-16,1.052,1.1538
2013-07-17,2013-07-17,1.034,-1.711
2013-07-18,2013-07-18,1.031,-0.2901
2013-07-19,2013-07-19,1.012,-1.8429
2013-07-22,2013-07-22,1.029,1.6798
2013-07-23,2013-07-23,1.053,2.3324
2013-07-24,2013-07-24,1.06,0.6648
2013-07-25,2013-07-25,1.042,-1.6981
2013-07-26,2013-07-26,1.036,-0.5758
2013-07-29,2013-07-29,1.016,-1.9305
2013-07-30,2013-07-30,1.011,-0.4921
2013-07-31,2013-07-31,1.013,0.1978
2013-08-01,2013-08-01,1.044,3.0602
2013-08-02,2013-08-02,1.047,0.2874
2013-08-05,2013-08-05,1.067,1.9102
2013-08-06,2013-08-06,1.079,1.1246
2013-08-07,2013-08-07,1.067,-1.1121
2013-08-08,2013-08-08,1.071,0.3749
2013-08-09,2013-08-09,1.071,0.0
2013-08-12,2013-08-12,1.086,1.4006
2013-08-13,2013-08-13,1.09,0.3683
2013-08-14,2013-08-14,1.082,-0.7339
2013-08-15,2013-08-15,1.067,-1.3863
2013-08-16,2013-08-16,1.044,-2.1556
2013-08-19,2013-08-19,1.061,1.6284
2013-08-20,2013-08-20,1.058,-0.2828
2013-08-21,2013-08-21,1.064,0.5671
2013-08-22,2013-08-22,1.064,0.0
2013-08-23,2013-08-23,1.066,0.188
2013-08-26,2013-08-26,1.084,1.6886
2013-08-27,2013-08-27,1.089,0.4613
2013-08-28,2013-08-28,1.077,-1.1019
2013-08-29,2013-08-29,1.071,-0.5571
2013-08-30,2013-08-30,1.051,-1.8674
2013-09-02,2013-09-02,1.065,1.3321
2013-09-03,2013-09-03,1.08,1.4085
2013-09-04,2013-09-04,1.08,0.0
2013-09-05,2013-09-05,1.079,-0.0926
2013-09-06,2013-09-06,1.085,0.5561
2013-09-09,2013-09-09,1.091,0.553
2013-09-10,2013-09-10,1.091,0.0
2013-09-11,2013-09-11,1.08,-1.0082
2013-09-12,2013-09-12,1.082,0.1852
2013-09-13,2013-09-13,1.09,0.7394
2013-09-16,2013-09-16,1.095,0.4587
2013-09-17,2013-09-17,1.079,-1.4612
2013-09-18,2013-09-18,1.084,0.4634
2013-09-23,2013-09-23,1.108,2.214
2013-09-24,2013-09-24,1.116,0.722
2013-09-25,2013-09-25,1.11,-0.5376
2013-09-26,2013-09-26,1.097,-1.1712
2013-09-27,2013-09-27,1.099,0.1823
2013-09-30,2013-09-30,1.106,0.6369
2013-10-08,2013-10-08,1.121,1.3562
2013-10-09,2013-10-09,1.126,0.446
2013-10-10,2013-10-10,1.121,-0.444
2013-10-11,2013-10-11,1.129,0.7136
2013-10-14,2013-10-14,1.142,1.1515
2013-10-15,2013-10-15,1.139,-0.2627
2013-10-16,2013-10-16,1.117,-1.9315
2013-10-17,2013-10-17,1.116,-0.0895
2013-10-18,2013-10-18,1.122,0.5376
2013-10-21,2013-10-21,1.146,2.139
2013-10-22,2013-10-22,1.143,-0.2618
2013-10-23,2013-10-23,1.116,-2.3622
2013-10-24,2013-10-24,1.11,-0.5376
2013-10-25,2013-10-25,1.088,-1.982
2013-10-28,2013-10-28,1.081,-0.6434
2013-10-29,2013-10-29,1.066,-1.3876
2013-10-30,2013-10-30,1.073,0.6567
2013-10-31,2013-10-31,1.062,-1.0252
2013-11-01,2013-11-01,1.06,-0.1883
2013-11-04,2013-11-04,1.066,0.566
2013-11-05,2013-11-05,1.081,1.4071
2013-11-06,2013-11-06,1.07,-1.0176
2013-11-07,2013-11-07,1.053,-1.5888
2013-11-08,2013-11-08,1.036,-1.6144
2013-11-11,2013-11-11,1.044,0.7722
2013-11-12,2013-11-12,1.05,0.5747
2013-11-13,2013-11-13,1.03,-1.9048
2013-11-14,2013-11-14,1.043,1.2621
2013-11-15,2013-11-15,1.06,1.6299
2013-11-18,2013-11-18,1.082,2.0755
2013-11-19,2013-11-19,1.084,0.1848
2013-11-20,2013-11-20,1.092,0.738
2013-11-21,2013-11-21,1.088,-0.3663
2013-11-22,2013-11-22,1.084,-0.3676
2013-11-25,2013-11-25,1.078,-0.5535
2013-11-26,2013-11-26,1.081,0.2783
2013-11-27,2013-11-27,1.094,1.2026
2013-11-28,2013-11-28,1.103,0.8227
2013-11-29,2013-11-29,1.111,0.7253
2013-12-02,2013-12-02,1.059,-4.6805
2013-12-03,2013-12-03,1.081,2.0774
2013-12-04,2013-12-04,1.098,1.5726
