净值日期,净值日期,单位净值,日增长率
2011-09-20,2011-09-20,1.0,0.0
2011-09-23,2011-09-23,0.9983,-0.17
2011-09-30,2011-09-30,0.9974,-0.0902
2011-10-14,2011-10-14,0.9992,0.1805
2011-10-21,2011-10-21,0.9973,-0.1902
2011-10-28,2011-10-28,0.9995,0.2206
2011-11-04,2011-11-04,1.0037,0.4202
2011-11-11,2011-11-11,1.0087,0.4982
2011-11-18,2011-11-18,0.9968,-1.1797
2011-11-21,2011-11-21,0.9924,-0.4414
2011-11-22,2011-11-22,0.9951,0.2721
2011-11-23,2011-11-23,0.9914,-0.3718
2011-11-25,2011-11-25,0.9888,-0.2623
2011-11-30,2011-11-30,0.8381,-2.9008
2011-12-02,2011-12-02,0.8293,-1.05
2011-12-05,2011-12-05,0.7934,-4.329
2011-12-06,2011-12-06,0.7988,0.6806
2011-12-07,2011-12-07,0.8033,0.5633
2011-12-08,2011-12-08,0.8099,0.8216
2011-12-09,2011-12-09,0.7995,-1.2841
2011-12-12,2011-12-12,0.7917,-0.9756
2011-12-13,2011-12-13,0.7704,-2.6904
2011-12-14,2011-12-14,0.7576,-1.6615
2011-12-15,2011-12-15,0.7486,-1.188
2011-12-16,2011-12-16,0.7801,4.2079
2011-12-19,2011-12-19,0.7944,1.8331
2011-12-20,2011-12-20,0.7826,-1.4854
2011-12-21,2011-12-21,0.7629,-2.5173
2011-12-22,2011-12-22,0.7595,-0.4457
2011-12-23,2011-12-23,0.763,0.4608
2011-12-26,2011-12-26,0.7547,-1.0878
2011-12-27,2011-12-27,0.7293,-3.3656
2011-12-28,2011-12-28,0.7199,-1.2889
2011-12-29,2011-12-29,0.7188,-0.1528
2011-12-30,2011-12-30,0.7316,1.7807
2011-12-31,2011-12-31,0.7315,-0.0137
2012-01-04,2012-01-04,0.709,-3.0759
2012-01-05,2012-01-05,0.6693,-5.5994
2012-01-06,2012-01-06,0.6715,0.3287
2012-01-09,2012-01-09,0.6953,3.5443
2012-01-10,2012-01-10,0.7193,3.4517
2012-01-11,2012-01-11,0.7207,0.1946
2012-01-12,2012-01-12,0.7127,-1.11
2012-01-13,2012-01-13,0.6689,-6.1456
2012-01-16,2012-01-16,0.6368,-4.7989
2012-01-17,2012-01-17,0.6655,4.5069
2012-01-18,2012-01-18,0.6278,-5.6649
2012-01-19,2012-01-19,0.6356,1.2424
2012-01-20,2012-01-20,0.6492,2.1397
2012-01-30,2012-01-30,0.6539,0.724
2012-01-31,2012-01-31,0.6514,-0.3823
2012-02-01,2012-02-01,0.6535,0.3224
2012-02-02,2012-02-02,0.668,2.2188
2012-02-03,2012-02-03,0.6826,2.1856
2012-02-06,2012-02-06,0.689,0.9376
2012-02-07,2012-02-07,0.6762,-1.8578
2012-02-08,2012-02-08,0.6948,2.7507
2012-02-09,2012-02-09,0.7002,0.7772
2012-02-10,2012-02-10,0.7013,0.1571
2012-02-13,2012-02-13,0.7173,2.2815
2012-02-14,2012-02-14,0.7147,-0.3625
2012-02-15,2012-02-15,0.7271,1.735
2012-02-16,2012-02-16,0.7241,-0.4126
2012-02-17,2012-02-17,0.7201,-0.5524
2012-02-20,2012-02-20,0.7233,0.4444
2012-02-21,2012-02-21,0.7391,2.1844
2012-02-22,2012-02-22,0.7617,3.0578
2012-02-23,2012-02-23,0.759,-0.3545
2012-02-24,2012-02-24,0.7644,0.7115
2012-02-27,2012-02-27,0.7624,-0.2616
2012-02-28,2012-02-28,0.7498,-1.6527
2012-02-29,2012-02-29,0.7371,-1.6938
2012-03-01,2012-03-01,0.7449,1.0582
2012-03-02,2012-03-02,0.7593,1.9331
2012-03-05,2012-03-05,0.7612,0.2502
2012-03-06,2012-03-06,0.7527,-1.1167
2012-03-07,2012-03-07,0.7511,-0.2126
2012-03-08,2012-03-08,0.7634,1.6376
2012-03-09,2012-03-09,0.7793,2.0828
2012-03-12,2012-03-12,0.7878,1.0907
2012-03-13,2012-03-13,0.794,0.787
2012-03-14,2012-03-14,0.7582,-4.5088
2012-03-15,2012-03-15,0.7482,-1.3189
2012-03-16,2012-03-16,0.7672,2.5394
2012-03-19,2012-03-19,0.781,1.7987
2012-03-20,2012-03-20,0.7572,-3.0474
2012-03-21,2012-03-21,0.7534,-0.5018
2012-03-22,2012-03-22,0.7525,-0.1195
2012-03-23,2012-03-23,0.7396,-1.7143
2012-03-26,2012-03-26,0.7389,-0.0946
2012-03-27,2012-03-27,0.7375,-0.1895
2012-03-28,2012-03-28,0.7006,-5.0034
2012-03-29,2012-03-29,0.6864,-2.0268
2012-03-30,2012-03-30,0.6812,-0.7576
2012-03-31,2012-03-31,0.6812,0.0
2012-04-05,2012-04-05,0.7002,2.7892
2012-04-06,2012-04-06,0.7042,0.5713
2012-04-09,2012-04-09,0.6925,-1.6615
2012-04-10,2012-04-10,0.6998,1.0542
2012-04-11,2012-04-11,0.7013,0.2143
2012-04-12,2012-04-12,0.7158,2.0676
2012-04-13,2012-04-13,0.7217,0.8243
2012-04-16,2012-04-16,0.719,-0.3741
2012-04-17,2012-04-17,0.7121,-0.9597
2012-04-18,2012-04-18,0.7263,1.9941
2012-04-19,2012-04-19,0.728,0.2341
2012-04-20,2012-04-20,0.7315,0.4808
2012-04-23,2012-04-23,0.6935,-5.1948
2012-04-24,2012-04-24,0.6847,-1.2689
2012-04-25,2012-04-25,0.6856,0.1314
2012-04-26,2012-04-26,0.6821,-0.5105
2012-04-27,2012-04-27,0.689,1.0116
2012-05-02,2012-05-02,0.6973,1.2046
2012-05-03,2012-05-03,0.7031,0.8318
2012-05-04,2012-05-04,0.7171,1.9912
2012-05-07,2012-05-07,0.7371,2.789
2012-05-08,2012-05-08,0.7359,-0.1628
2012-05-09,2012-05-09,0.7236,-1.6714
2012-05-10,2012-05-10,0.7317,1.1194
2012-05-11,2012-05-11,0.7258,-0.8063
2012-05-14,2012-05-14,0.7245,-0.1791
2012-05-15,2012-05-15,0.7248,0.0414
2012-05-16,2012-05-16,0.7148,-1.3797
2012-05-17,2012-05-17,0.7213,0.9093
2012-05-18,2012-05-18,0.7114,-1.3725
