净值日期,净值日期,单位净值,日增长率
2004-09-15,2004-09-15,1.0,0.0
2004-09-17,2004-09-17,1.0002,0.02
2004-09-23,2004-09-23,1.0004,0.02
2004-09-24,2004-09-24,1.0003,-0.01
2004-09-27,2004-09-27,1.0003,0.0
2004-09-28,2004-09-28,1.0009,0.06
2004-09-29,2004-09-29,1.0012,0.03
2004-09-30,2004-09-30,1.0004,-0.0799
2004-10-08,2004-10-08,1.0029,0.2499
2004-10-11,2004-10-11,1.0033,0.0399
2004-10-12,2004-10-12,0.9999,-0.3389
2004-10-13,2004-10-13,0.9997,-0.02
2004-10-14,2004-10-14,0.995,-0.4701
2004-10-15,2004-10-15,0.9959,0.0905
2004-10-18,2004-10-18,0.9965,0.0602
2004-10-19,2004-10-19,0.9954,-0.1104
2004-10-20,2004-10-20,0.9978,0.2411
2004-10-21,2004-10-21,0.998,0.02
2004-10-22,2004-10-22,1.0043,0.6313
2004-10-25,2004-10-25,1.0,-0.4282
2004-10-26,2004-10-26,1.0042,0.42
2004-10-27,2004-10-27,1.0044,0.0199
2004-10-28,2004-10-28,1.0014,-0.2987
2004-10-29,2004-10-29,0.9957,-0.5692
2004-11-01,2004-11-01,0.9937,-0.2009
2004-11-02,2004-11-02,0.9921,-0.161
2004-11-03,2004-11-03,0.995,0.2923
2004-11-04,2004-11-04,0.9891,-0.593
2004-11-05,2004-11-05,0.9875,-0.1618
2004-11-08,2004-11-08,0.9868,-0.0709
2004-11-09,2004-11-09,0.9906,0.3851
2004-11-10,2004-11-10,1.0019,1.1407
2004-11-11,2004-11-11,0.9985,-0.3394
2004-11-12,2004-11-12,0.9979,-0.0601
2004-11-15,2004-11-15,1.002,0.4109
2004-11-16,2004-11-16,1.0036,0.1597
2004-11-17,2004-11-17,1.0005,-0.3089
2004-11-18,2004-11-18,1.006,0.5497
2004-11-19,2004-11-19,1.0073,0.1292
2004-11-22,2004-11-22,1.0071,-0.0199
2004-11-23,2004-11-23,0.9993,-0.7745
2004-11-24,2004-11-24,0.9999,0.06
2004-11-25,2004-11-25,0.9994,-0.05
2004-11-26,2004-11-26,0.9975,-0.1901
2004-11-29,2004-11-29,0.9921,-0.5414
2004-11-30,2004-11-30,0.99,-0.2117
2004-12-01,2004-12-01,0.9854,-0.4646
2004-12-02,2004-12-02,0.9847,-0.071
2004-12-03,2004-12-03,0.9863,0.1625
2004-12-06,2004-12-06,0.9873,0.1014
2004-12-07,2004-12-07,0.9829,-0.4457
2004-12-08,2004-12-08,0.9844,0.1526
2004-12-09,2004-12-09,0.9876,0.3251
2004-12-10,2004-12-10,0.9898,0.2228
2004-12-13,2004-12-13,0.9876,-0.2223
2004-12-14,2004-12-14,0.9878,0.0203
2004-12-15,2004-12-15,0.9886,0.081
2004-12-16,2004-12-16,0.9856,-0.3035
2004-12-17,2004-12-17,0.9803,-0.5377
2004-12-20,2004-12-20,0.9733,-0.7141
2004-12-21,2004-12-21,0.9721,-0.1233
2004-12-22,2004-12-22,0.9862,1.4505
2004-12-23,2004-12-23,0.9785,-0.7808
2004-12-24,2004-12-24,0.9825,0.4088
2004-12-27,2004-12-27,0.9849,0.2443
2004-12-28,2004-12-28,0.988,0.3148
2004-12-29,2004-12-29,0.9853,-0.2733
2004-12-30,2004-12-30,0.9911,0.5887
2004-12-31,2004-12-31,0.9921,0.1009
2005-01-04,2005-01-04,0.9836,-0.8568
2005-01-05,2005-01-05,0.9867,0.3152
2005-01-06,2005-01-06,0.9837,-0.304
2005-01-07,2005-01-07,0.9797,-0.4066
2005-01-10,2005-01-10,0.9814,0.1735
2005-01-11,2005-01-11,0.9836,0.2242
2005-01-12,2005-01-12,0.9864,0.2847
2005-01-13,2005-01-13,0.9837,-0.2737
2005-01-14,2005-01-14,0.9823,-0.1423
2005-01-17,2005-01-17,0.9779,-0.4479
2005-01-18,2005-01-18,0.9745,-0.3477
2005-01-19,2005-01-19,0.9686,-0.6054
2005-01-20,2005-01-20,0.9608,-0.8053
2005-01-21,2005-01-21,0.9725,1.2177
