净值日期,净值日期,单位净值,日增长率
2012-03-29,2012-03-29,1.0,0.0
2012-03-30,2012-03-30,1.0,0.0
2012-04-06,2012-04-06,1.0,0.0
2012-04-13,2012-04-13,1.0,0.0
2012-04-20,2012-04-20,1.002,0.2
2012-04-26,2012-04-26,1.002,0.0
2012-04-27,2012-04-27,1.002,0.0
2012-05-02,2012-05-02,1.002,0.0
2012-05-03,2012-05-03,1.0,-0.1996
2012-05-04,2012-05-04,0.992,-0.8
2012-05-07,2012-05-07,0.99,-0.2016
2012-05-08,2012-05-08,0.985,-0.5051
2012-05-09,2012-05-09,0.981,-0.4061
2012-05-10,2012-05-10,0.984,0.3058
2012-05-11,2012-05-11,0.981,-0.3049
2012-05-14,2012-05-14,0.973,-0.8155
2012-05-15,2012-05-15,0.967,-0.6166
2012-05-16,2012-05-16,0.964,-0.3102
2012-05-17,2012-05-17,0.961,-0.3112
2012-05-18,2012-05-18,0.956,-0.5203
2012-05-21,2012-05-21,0.963,0.7322
2012-05-22,2012-05-22,0.964,0.1038
2012-05-23,2012-05-23,0.96,-0.4149
2012-05-24,2012-05-24,0.964,0.4167
2012-05-25,2012-05-25,0.964,0.0
2012-05-28,2012-05-28,0.965,0.1037
2012-05-29,2012-05-29,0.974,0.9326
2012-05-30,2012-05-30,0.953,-2.1561
2012-05-31,2012-05-31,0.949,-0.4197
2012-06-01,2012-06-01,0.933,-1.686
2012-06-04,2012-06-04,0.929,-0.4287
2012-06-05,2012-06-05,0.934,0.5382
2012-06-06,2012-06-06,0.954,2.1413
2012-06-07,2012-06-07,0.958,0.4193
2012-06-08,2012-06-08,0.955,-0.3132
2012-06-11,2012-06-11,0.951,-0.4188
2012-06-12,2012-06-12,0.958,0.7361
2012-06-13,2012-06-13,0.955,-0.3132
2012-06-14,2012-06-14,0.96,0.5236
2012-06-15,2012-06-15,0.973,1.3542
2012-06-18,2012-06-18,0.97,-0.3083
2012-06-19,2012-06-19,0.98,1.0309
2012-06-20,2012-06-20,0.977,-0.3061
2012-06-21,2012-06-21,0.951,-2.6612
2012-06-25,2012-06-25,0.937,-1.4721
2012-06-26,2012-06-26,0.941,0.4269
2012-06-27,2012-06-27,0.953,1.2752
2012-06-28,2012-06-28,0.954,0.1049
2012-06-29,2012-06-29,0.98,2.7254
2012-06-30,2012-06-30,0.98,0.0
2012-07-02,2012-07-02,0.984,0.4082
2012-07-03,2012-07-03,1.003,1.9309
2012-07-04,2012-07-04,1.002,-0.0997
2012-07-05,2012-07-05,0.994,-0.7984
2012-07-06,2012-07-06,0.983,-1.1066
2012-07-09,2012-07-09,0.976,-0.7121
2012-07-10,2012-07-10,0.966,-1.0246
2012-07-11,2012-07-11,0.975,0.9317
2012-07-12,2012-07-12,0.971,-0.4103
2012-07-13,2012-07-13,0.983,1.2358
2012-07-16,2012-07-16,0.988,0.5086
2012-07-17,2012-07-17,0.997,0.9109
2012-07-18,2012-07-18,1.004,0.7021
