净值日期,净值日期,单位净值,日增长率
2012-04-16,2012-04-16,1.0,0.0
2012-04-20,2012-04-20,1.0,0.0
2012-04-27,2012-04-27,1.0,0.0
2012-05-04,2012-05-04,1.002,0.2
2012-05-11,2012-05-11,1.001,-0.0998
2012-05-18,2012-05-18,1.0,-0.0999
2012-05-21,2012-05-21,1.0,0.0
2012-05-22,2012-05-22,1.002,0.2
2012-05-23,2012-05-23,1.003,0.0998
2012-05-24,2012-05-24,1.0,-0.2991
2012-05-25,2012-05-25,0.999,-0.1
2012-05-28,2012-05-28,1.003,0.4004
2012-05-29,2012-05-29,1.007,0.3988
2012-05-30,2012-05-30,1.007,0.0
2012-05-31,2012-05-31,1.01,0.2979
2012-06-01,2012-06-01,1.012,0.198
2012-06-04,2012-06-04,1.006,-0.5929
2012-06-05,2012-06-05,1.009,0.2982
2012-06-06,2012-06-06,1.009,0.0
2012-06-07,2012-06-07,1.006,-0.2973
2012-06-08,2012-06-08,1.005,-0.0994
2012-06-11,2012-06-11,1.013,0.796
2012-06-12,2012-06-12,1.011,-0.1974
2012-06-13,2012-06-13,1.023,1.1869
2012-06-14,2012-06-14,1.023,0.0
2012-06-15,2012-06-15,1.023,0.0
2012-06-18,2012-06-18,1.03,0.6843
2012-06-19,2012-06-19,1.028,-0.1942
2012-06-20,2012-06-20,1.019,-0.8755
2012-06-21,2012-06-21,1.015,-0.3925
2012-06-25,2012-06-25,1.006,-0.8867
2012-06-26,2012-06-26,1.006,0.0
2012-06-27,2012-06-27,1.015,0.8946
2012-06-28,2012-06-28,1.011,-0.3941
2012-06-29,2012-06-29,1.026,1.4837
2012-06-30,2012-06-30,1.026,0.0
2012-07-02,2012-07-02,1.041,1.462
2012-07-03,2012-07-03,1.044,0.2882
2012-07-04,2012-07-04,1.036,-0.7663
2012-07-05,2012-07-05,1.016,-1.9305
2012-07-06,2012-07-06,1.037,2.0669
2012-07-09,2012-07-09,1.013,-2.3144
2012-07-10,2012-07-10,0.991,-2.1718
2012-07-11,2012-07-11,1.0,0.9082
2012-07-12,2012-07-12,1.016,1.6
2012-07-13,2012-07-13,1.004,-1.1811
2012-07-16,2012-07-16,0.964,-3.9841
2012-07-17,2012-07-17,0.958,-0.6224
2012-07-18,2012-07-18,0.963,0.5219
2012-07-19,2012-07-19,0.966,0.3115
2012-07-20,2012-07-20,0.967,0.1035
2012-07-23,2012-07-23,0.963,-0.4137
2012-07-24,2012-07-24,0.965,0.2077
2012-07-25,2012-07-25,0.965,0.0
2012-07-26,2012-07-26,0.959,-0.6218
2012-07-27,2012-07-27,0.952,-0.7299
2012-07-30,2012-07-30,0.945,-0.7353
2012-07-31,2012-07-31,0.936,-0.9524
2012-08-01,2012-08-01,0.943,0.7479
2012-08-02,2012-08-02,0.939,-0.4242
2012-08-03,2012-08-03,0.944,0.5325
2012-08-06,2012-08-06,0.951,0.7415
2012-08-07,2012-08-07,0.951,0.0
2012-08-08,2012-08-08,0.951,0.0
