净值日期,净值日期,单位净值,日增长率
2011-08-16,2011-08-16,1.0,0.0
2011-08-19,2011-08-19,0.999,-0.1
2011-08-26,2011-08-26,1.001,0.2002
2011-09-02,2011-09-02,0.999,-0.1998
2011-09-09,2011-09-09,0.997,-0.2002
2011-09-16,2011-09-16,0.997,0.0
2011-09-19,2011-09-19,0.995,-0.2006
2011-09-20,2011-09-20,0.996,0.1005
2011-09-21,2011-09-21,0.998,0.2008
2011-09-22,2011-09-22,0.995,-0.3006
2011-09-23,2011-09-23,0.996,0.1005
2011-09-26,2011-09-26,0.994,-0.2008
2011-09-27,2011-09-27,0.995,0.1006
2011-09-28,2011-09-28,0.994,-0.1005
2011-09-29,2011-09-29,0.994,0.0
2011-09-30,2011-09-30,0.993,-0.1006
2011-10-10,2011-10-10,0.992,-0.1007
2011-10-11,2011-10-11,0.987,-0.504
2011-10-12,2011-10-12,0.99,0.304
2011-10-13,2011-10-13,0.99,0.0
2011-10-14,2011-10-14,0.991,0.101
2011-10-17,2011-10-17,0.992,0.1009
2011-10-18,2011-10-18,0.989,-0.3024
2011-10-19,2011-10-19,0.989,0.0
2011-10-20,2011-10-20,0.984,-0.5056
2011-10-21,2011-10-21,0.983,-0.1016
2011-10-24,2011-10-24,0.986,0.3052
2011-10-25,2011-10-25,0.99,0.4057
2011-10-26,2011-10-26,0.991,0.101
2011-10-27,2011-10-27,0.991,0.0
2011-10-28,2011-10-28,0.994,0.3027
2011-10-31,2011-10-31,0.995,0.1006
2011-11-01,2011-11-01,0.995,0.0
2011-11-02,2011-11-02,0.997,0.201
2011-11-03,2011-11-03,0.997,0.0
2011-11-04,2011-11-04,0.998,0.1003
2011-11-07,2011-11-07,0.999,0.1002
2011-11-08,2011-11-08,0.998,-0.1001
2011-11-09,2011-11-09,1.001,0.3006
2011-11-10,2011-11-10,0.997,-0.3996
2011-11-11,2011-11-11,0.997,0.0
2011-11-14,2011-11-14,1.006,0.9027
2011-11-15,2011-11-15,1.007,0.0994
2011-11-16,2011-11-16,0.998,-0.8937
2011-11-17,2011-11-17,0.997,-0.1002
2011-11-18,2011-11-18,0.987,-1.003
2011-11-21,2011-11-21,0.985,-0.2026
2011-11-22,2011-11-22,0.983,-0.203
2011-11-23,2011-11-23,0.979,-0.4069
2011-11-24,2011-11-24,0.978,-0.1021
2011-11-25,2011-11-25,0.976,-0.2045
2011-11-28,2011-11-28,0.976,0.0
2011-11-29,2011-11-29,0.983,0.7172
2011-11-30,2011-11-30,0.969,-1.4242
2011-12-01,2011-12-01,0.977,0.8256
2011-12-02,2011-12-02,0.968,-0.9212
2011-12-05,2011-12-05,0.958,-1.0331
2011-12-06,2011-12-06,0.959,0.1044
2011-12-07,2011-12-07,0.96,0.1043
2011-12-08,2011-12-08,0.958,-0.2083
2011-12-09,2011-12-09,0.956,-0.2088
2011-12-12,2011-12-12,0.951,-0.523
2011-12-13,2011-12-13,0.939,-1.2618
2011-12-14,2011-12-14,0.931,-0.852
2011-12-15,2011-12-15,0.915,-1.7186
2011-12-16,2011-12-16,0.925,1.0929
2011-12-19,2011-12-19,0.923,-0.2162
2011-12-20,2011-12-20,0.923,0.0
2011-12-21,2011-12-21,0.916,-0.7584
2011-12-22,2011-12-22,0.92,0.4367
2011-12-23,2011-12-23,0.923,0.3261
2011-12-26,2011-12-26,0.92,-0.325
2011-12-27,2011-12-27,0.912,-0.8696
2011-12-28,2011-12-28,0.913,0.1096
2011-12-29,2011-12-29,0.913,0.0
2011-12-30,2011-12-30,0.918,0.5476
2011-12-31,2011-12-31,0.918,0.0
2012-01-04,2012-01-04,0.906,-1.3072
2012-01-05,2012-01-05,0.894,-1.3245
2012-01-06,2012-01-06,0.898,0.4474
2012-01-09,2012-01-09,0.925,3.0067
2012-01-10,2012-01-10,0.95,2.7027
2012-01-11,2012-01-11,0.949,-0.1053
2012-01-12,2012-01-12,0.949,0.0
2012-01-13,2012-01-13,0.941,-0.843
2012-01-16,2012-01-16,0.927,-1.4878
2012-01-17,2012-01-17,0.965,4.0992
2012-01-18,2012-01-18,0.958,-0.7254
2012-01-19,2012-01-19,0.967,0.9395
2012-01-20,2012-01-20,0.966,-0.1034
2012-01-30,2012-01-30,0.957,-0.9317
2012-01-31,2012-01-31,0.96,0.3135
2012-02-01,2012-02-01,0.947,-1.3542
2012-02-02,2012-02-02,0.962,1.5839
2012-02-03,2012-02-03,0.965,0.3119
2012-02-06,2012-02-06,0.966,0.1036
2012-02-07,2012-02-07,0.956,-1.0352
2012-02-08,2012-02-08,0.981,2.6151
2012-02-09,2012-02-09,0.98,-0.1019
2012-02-10,2012-02-10,0.979,-0.102
2012-02-13,2012-02-13,0.98,0.1021
2012-02-14,2012-02-14,0.979,-0.102
2012-02-15,2012-02-15,0.988,0.9193
2012-02-16,2012-02-16,0.982,-0.6073
2012-02-17,2012-02-17,0.98,-0.2037
2012-02-20,2012-02-20,0.98,0.0
2012-02-21,2012-02-21,0.987,0.7143
2012-02-22,2012-02-22,0.996,0.9119
2012-02-23,2012-02-23,1.004,0.8032
2012-02-24,2012-02-24,1.016,1.1952
2012-02-27,2012-02-27,1.019,0.2953
2012-02-28,2012-02-28,1.016,-0.2944
2012-02-29,2012-02-29,1.009,-0.689
2012-03-01,2012-03-01,1.007,-0.1982
2012-03-02,2012-03-02,1.024,1.6882
2012-03-05,2012-03-05,1.025,0.0977
2012-03-06,2012-03-06,1.004,-2.0488
2012-03-07,2012-03-07,0.99,-1.3944
2012-03-08,2012-03-08,1.004,1.4141
2012-03-09,2012-03-09,1.023,1.8924
2012-03-12,2012-03-12,1.023,0.0
2012-03-13,2012-03-13,1.03,0.6843
2012-03-14,2012-03-14,0.999,-3.0097
2012-03-15,2012-03-15,0.987,-1.2012
2012-03-16,2012-03-16,1.002,1.5198
2012-03-19,2012-03-19,1.017,1.497
2012-03-20,2012-03-20,1.007,-0.9833
2012-03-21,2012-03-21,1.024,1.6882
2012-03-22,2012-03-22,1.011,-1.2695
2012-03-23,2012-03-23,0.994,-1.6815
2012-03-26,2012-03-26,0.994,0.0
2012-03-27,2012-03-27,0.997,0.3018
2012-03-28,2012-03-28,0.959,-3.8114
2012-03-29,2012-03-29,0.941,-1.877
2012-03-30,2012-03-30,0.939,-0.2125
2012-03-31,2012-03-31,0.938,-0.1065
2012-04-05,2012-04-05,0.963,2.6652
2012-04-06,2012-04-06,0.966,0.3115
2012-04-09,2012-04-09,0.957,-0.9317
2012-04-10,2012-04-10,0.964,0.7315
2012-04-11,2012-04-11,0.961,-0.3112
2012-04-12,2012-04-12,0.98,1.9771
2012-04-13,2012-04-13,0.987,0.7143
2012-04-16,2012-04-16,0.986,-0.1013
2012-04-17,2012-04-17,0.975,-1.1156
2012-04-18,2012-04-18,0.995,2.0513
2012-04-19,2012-04-19,0.992,-0.3015
2012-04-20,2012-04-20,0.998,0.6048
2012-04-23,2012-04-23,0.99,-0.8016
2012-04-24,2012-04-24,0.99,0.0
2012-04-25,2012-04-25,1.0,1.0101
2012-04-26,2012-04-26,1.006,0.6
2012-04-27,2012-04-27,1.002,-0.3976
2012-05-02,2012-05-02,1.035,3.2934
2012-05-03,2012-05-03,1.038,0.2899
2012-05-04,2012-05-04,1.042,0.3854
2012-05-07,2012-05-07,1.04,-0.1919
2012-05-08,2012-05-08,1.036,-0.3846
2012-05-09,2012-05-09,1.015,-2.027
2012-05-10,2012-05-10,1.018,0.2956
2012-05-11,2012-05-11,1.011,-0.6876
2012-05-14,2012-05-14,0.999,-1.1869
2012-05-15,2012-05-15,0.993,-0.6006
2012-05-16,2012-05-16,0.982,-1.1078
2012-05-17,2012-05-17,0.996,1.4257
2012-05-18,2012-05-18,0.986,-1.004
2012-05-21,2012-05-21,0.998,1.217
2012-05-22,2012-05-22,1.008,1.002
2012-05-23,2012-05-23,1.001,-0.6944
2012-05-24,2012-05-24,0.998,-0.2997
2012-05-25,2012-05-25,0.991,-0.7014
2012-05-28,2012-05-28,1.004,1.3118
2012-05-29,2012-05-29,1.022,1.7928
2012-05-30,2012-05-30,1.016,-0.5871
2012-05-31,2012-05-31,1.007,-0.8858
2012-06-01,2012-06-01,1.004,-0.2979
2012-06-04,2012-06-04,0.975,-2.8884
2012-06-05,2012-06-05,0.972,-0.3077
2012-06-06,2012-06-06,0.968,-0.4115
2012-06-07,2012-06-07,0.963,-0.5165
2012-06-08,2012-06-08,0.957,-0.6231
2012-06-11,2012-06-11,0.974,1.7764
2012-06-12,2012-06-12,0.962,-1.232
2012-06-13,2012-06-13,0.968,0.6237
2012-06-14,2012-06-14,0.954,-1.4463
2012-06-15,2012-06-15,0.957,0.3145
2012-06-18,2012-06-18,0.961,0.418
2012-06-19,2012-06-19,0.951,-1.0406
2012-06-20,2012-06-20,0.952,0.1052
2012-06-21,2012-06-21,0.928,-2.521
2012-06-25,2012-06-25,0.898,-3.2328
2012-06-26,2012-06-26,0.9,0.2227
2012-06-27,2012-06-27,0.892,-0.8889
2012-06-28,2012-06-28,0.883,-1.009
2012-06-29,2012-06-29,0.895,1.359
2012-06-30,2012-06-30,0.895,0.0
2012-07-02,2012-07-02,0.9,0.5587
2012-07-03,2012-07-03,0.9,0.0
2012-07-04,2012-07-04,0.906,0.6667
2012-07-05,2012-07-05,0.895,-1.2141
2012-07-06,2012-07-06,0.908,1.4525
2012-07-09,2012-07-09,0.885,-2.533
2012-07-10,2012-07-10,0.883,-0.226
2012-07-11,2012-07-11,0.891,0.906
2012-07-12,2012-07-12,0.912,2.3569
2012-07-13,2012-07-13,0.908,-0.4386
2012-07-16,2012-07-16,0.892,-1.7621
2012-07-17,2012-07-17,0.894,0.2242
2012-07-18,2012-07-18,0.899,0.5593
2012-07-19,2012-07-19,0.9,0.1112
2012-07-20,2012-07-20,0.891,-1.0
2012-07-23,2012-07-23,0.88,-1.2346
2012-07-24,2012-07-24,0.881,0.1136
2012-07-25,2012-07-25,0.872,-1.0216
2012-07-26,2012-07-26,0.871,-0.1147
2012-07-27,2012-07-27,0.876,0.5741
