净值日期,净值日期,单位净值,日增长率
2009-06-24,2009-06-24,1.0,0.0
2009-06-26,2009-06-26,1.0,0.0
2009-06-30,2009-06-30,1.0,0.0
2009-07-03,2009-07-03,1.022,2.2
2009-07-10,2009-07-10,1.031,0.8806
2009-07-17,2009-07-17,1.055,2.3278
2009-07-24,2009-07-24,1.074,1.8009
2009-07-31,2009-07-31,1.08,0.5587
2009-08-03,2009-08-03,1.094,1.2963
2009-08-04,2009-08-04,1.095,0.0914
2009-08-05,2009-08-05,1.083,-1.0959
2009-08-06,2009-08-06,1.068,-1.385
2009-08-07,2009-08-07,1.042,-2.4345
2009-08-10,2009-08-10,1.045,0.2879
2009-08-11,2009-08-11,1.045,0.0
2009-08-12,2009-08-12,1.016,-2.7751
2009-08-13,2009-08-13,1.022,0.5906
2009-08-14,2009-08-14,0.997,-2.4462
2009-08-17,2009-08-17,0.941,-5.6169
2009-08-18,2009-08-18,0.949,0.8502
2009-08-19,2009-08-19,0.895,-5.6902
2009-08-20,2009-08-20,0.929,3.7989
2009-08-21,2009-08-21,0.945,1.7223
2009-08-24,2009-08-24,0.957,1.2698
2009-08-25,2009-08-25,0.924,-3.4483
2009-08-26,2009-08-26,0.946,2.381
2009-08-27,2009-08-27,0.942,-0.4228
2009-08-28,2009-08-28,0.913,-3.0786
2009-08-31,2009-08-31,0.849,-7.0099
2009-09-01,2009-09-01,0.85,0.1178
2009-09-02,2009-09-02,0.858,0.9412
2009-09-03,2009-09-03,0.902,5.1282
2009-09-04,2009-09-04,0.911,0.9978
2009-09-07,2009-09-07,0.918,0.7684
2009-09-08,2009-09-08,0.937,2.0697
2009-09-09,2009-09-09,0.943,0.6403
2009-09-10,2009-09-10,0.938,-0.5302
2009-09-11,2009-09-11,0.954,1.7058
2009-09-14,2009-09-14,0.971,1.782
2009-09-15,2009-09-15,0.973,0.206
2009-09-16,2009-09-16,0.959,-1.4388
2009-09-17,2009-09-17,0.973,1.4599
2009-09-18,2009-09-18,0.944,-2.9805
2009-09-21,2009-09-21,0.953,0.9534
2009-09-22,2009-09-22,0.935,-1.8888
2009-09-23,2009-09-23,0.912,-2.4599
2009-09-24,2009-09-24,0.911,-0.1096
2009-09-25,2009-09-25,0.904,-0.7684
2009-09-28,2009-09-28,0.882,-2.4336
2009-09-29,2009-09-29,0.881,-0.1134
2009-09-30,2009-09-30,0.888,0.7946
2009-10-09,2009-10-09,0.927,4.3919
2009-10-12,2009-10-12,0.928,0.1079
2009-10-13,2009-10-13,0.944,1.7241
2009-10-14,2009-10-14,0.955,1.1653
2009-10-15,2009-10-15,0.957,0.2094
2009-10-16,2009-10-16,0.96,0.3135
2009-10-19,2009-10-19,0.984,2.5
2009-10-20,2009-10-20,0.997,1.3211
2009-10-21,2009-10-21,0.992,-0.5015
2009-10-22,2009-10-22,0.991,-0.1008
2009-10-23,2009-10-23,1.006,1.5136
2009-10-26,2009-10-26,1.006,0.0
2009-10-27,2009-10-27,0.983,-2.2863
2009-10-28,2009-10-28,0.986,0.3052
2009-10-29,2009-10-29,0.968,-1.8256
2009-10-30,2009-10-30,0.975,0.7231
2009-11-02,2009-11-02,0.997,2.2564
2009-11-03,2009-11-03,1.01,1.3039
