净值日期,净值日期,单位净值,日增长率
2011-11-23,2011-11-23,1.0,0.0
2011-11-25,2011-11-25,1.0,0.0
2011-12-02,2011-12-02,1.0,0.0
2011-12-09,2011-12-09,1.001,0.1
2011-12-16,2011-12-16,1.001,0.0
2011-12-23,2011-12-23,1.002,0.0999
2011-12-30,2011-12-30,1.002,0.0
2011-12-31,2011-12-31,1.002,0.0
2012-01-05,2012-01-05,1.003,0.0998
2012-01-06,2012-01-06,1.002,-0.0997
2012-01-09,2012-01-09,1.003,0.0998
2012-01-10,2012-01-10,1.004,0.0997
2012-01-11,2012-01-11,1.004,0.0
2012-01-12,2012-01-12,1.003,-0.0996
2012-01-13,2012-01-13,0.999,-0.3988
2012-01-16,2012-01-16,0.993,-0.6006
2012-01-17,2012-01-17,1.003,1.007
2012-01-18,2012-01-18,0.996,-0.6979
2012-01-19,2012-01-19,1.002,0.6024
2012-01-20,2012-01-20,1.008,0.5988
2012-01-30,2012-01-30,1.005,-0.2976
2012-01-31,2012-01-31,1.006,0.0995
2012-02-01,2012-02-01,1.004,-0.1988
2012-02-02,2012-02-02,1.01,0.5976
2012-02-03,2012-02-03,1.015,0.495
2012-02-06,2012-02-06,1.018,0.2956
2012-02-07,2012-02-07,1.011,-0.6876
2012-02-08,2012-02-08,1.024,1.2859
2012-02-09,2012-02-09,1.025,0.0977
2012-02-10,2012-02-10,1.025,0.0
2012-02-13,2012-02-13,1.032,0.6829
2012-02-14,2012-02-14,1.032,0.0
2012-02-15,2012-02-15,1.041,0.8721
2012-02-16,2012-02-16,1.041,0.0
2012-02-17,2012-02-17,1.037,-0.3842
2012-02-20,2012-02-20,1.034,-0.2893
2012-02-21,2012-02-21,1.043,0.8704
2012-02-22,2012-02-22,1.055,1.1505
2012-02-23,2012-02-23,1.057,0.1896
2012-02-24,2012-02-24,1.07,1.2299
2012-02-27,2012-02-27,1.071,0.0935
2012-02-28,2012-02-28,1.068,-0.2801
2012-02-29,2012-02-29,1.055,-1.2172
2012-03-01,2012-03-01,1.062,0.6635
2012-03-02,2012-03-02,1.079,1.6008
2012-03-05,2012-03-05,1.077,-0.1854
2012-03-06,2012-03-06,1.069,-0.7428
2012-03-07,2012-03-07,1.064,-0.4677
2012-03-08,2012-03-08,1.075,1.0338
2012-03-09,2012-03-09,1.091,1.4884
2012-03-12,2012-03-12,1.094,0.275
2012-03-13,2012-03-13,1.105,1.0055
2012-03-14,2012-03-14,1.064,-3.7104
2012-03-15,2012-03-15,1.056,-0.7519
2012-03-16,2012-03-16,1.078,2.0833
2012-03-19,2012-03-19,1.082,0.3711
2012-03-20,2012-03-20,1.06,-2.0333
2012-03-21,2012-03-21,1.059,-0.0943
2012-03-22,2012-03-22,1.062,0.2833
2012-03-23,2012-03-23,1.046,-1.5066
2012-03-26,2012-03-26,1.045,-0.0956
2012-03-27,2012-03-27,1.041,-0.3828
2012-03-28,2012-03-28,1.007,-3.2661
2012-03-29,2012-03-29,0.997,-0.993
2012-03-30,2012-03-30,1.001,0.4012
2012-03-31,2012-03-31,1.001,0.0
2012-04-05,2012-04-05,1.03,2.8971
2012-04-06,2012-04-06,1.038,0.7767
2012-04-09,2012-04-09,1.029,-0.8671
2012-04-10,2012-04-10,1.041,1.1662
2012-04-11,2012-04-11,1.041,0.0
2012-04-12,2012-04-12,1.055,1.3449
2012-04-13,2012-04-13,1.056,0.0948
2012-04-16,2012-04-16,1.056,0.0
2012-04-17,2012-04-17,1.042,-1.3258
2012-04-18,2012-04-18,1.062,1.9194
2012-04-19,2012-04-19,1.058,-0.3766
2012-04-20,2012-04-20,1.062,0.3781
2012-04-23,2012-04-23,1.048,-1.3183
2012-04-24,2012-04-24,1.042,-0.5725
2012-04-25,2012-04-25,1.052,0.9597
2012-04-26,2012-04-26,1.048,-0.3802
2012-04-27,2012-04-27,1.045,-0.2863
2012-05-02,2012-05-02,1.066,2.0096
2012-05-03,2012-05-03,1.068,0.1876
2012-05-04,2012-05-04,1.074,0.5618
2012-05-07,2012-05-07,1.076,0.1862
2012-05-08,2012-05-08,1.072,-0.3717
2012-05-09,2012-05-09,1.051,-1.959
2012-05-10,2012-05-10,1.054,0.2854
2012-05-11,2012-05-11,1.047,-0.6641
2012-05-14,2012-05-14,1.043,-0.382
2012-05-15,2012-05-15,1.044,0.0959
2012-05-16,2012-05-16,1.025,-1.8199
2012-05-17,2012-05-17,1.043,1.7561
2012-05-18,2012-05-18,1.027,-1.534
2012-05-21,2012-05-21,1.029,0.1947
2012-05-22,2012-05-22,1.049,1.9436
2012-05-23,2012-05-23,1.047,-0.1907
2012-05-24,2012-05-24,1.042,-0.4776
2012-05-25,2012-05-25,1.032,-0.9597
2012-05-28,2012-05-28,1.057,2.4225
2012-05-29,2012-05-29,1.072,1.4191
2012-05-30,2012-05-30,1.071,-0.0933
2012-05-31,2012-05-31,1.067,-0.3735
2012-06-01,2012-06-01,1.063,-0.3749
2012-06-04,2012-06-04,1.029,-3.1985
2012-06-05,2012-06-05,1.025,-0.3887
2012-06-06,2012-06-06,1.018,-0.6829
2012-06-07,2012-06-07,1.013,-0.4912
2012-06-08,2012-06-08,1.009,-0.3949
2012-06-11,2012-06-11,1.03,2.0813
2012-06-12,2012-06-12,1.027,-0.2913
2012-06-13,2012-06-13,1.04,1.2658
2012-06-14,2012-06-14,1.03,-0.9615
2012-06-15,2012-06-15,1.026,-0.3883
2012-06-18,2012-06-18,1.034,0.7797
2012-06-19,2012-06-19,1.019,-1.4507
2012-06-20,2012-06-20,1.016,-0.2944
2012-06-21,2012-06-21,0.999,-1.6732
2012-06-25,2012-06-25,0.965,-3.4034
2012-06-26,2012-06-26,0.967,0.2073
2012-06-27,2012-06-27,0.963,-0.4137
2012-06-28,2012-06-28,0.957,-0.6231
2012-06-29,2012-06-29,0.97,1.3584
2012-06-30,2012-06-30,0.97,0.0
2012-07-02,2012-07-02,0.975,0.5155
2012-07-03,2012-07-03,0.972,-0.3077
2012-07-04,2012-07-04,0.966,-0.6173
2012-07-05,2012-07-05,0.952,-1.4493
2012-07-06,2012-07-06,0.971,1.9958
2012-07-09,2012-07-09,0.959,-1.2358
2012-07-10,2012-07-10,0.951,-0.8342
2012-07-11,2012-07-11,0.957,0.6309
2012-07-12,2012-07-12,0.972,1.5674
2012-07-13,2012-07-13,0.973,0.1029
2012-07-16,2012-07-16,0.955,-1.8499
2012-07-17,2012-07-17,0.963,0.8377
2012-07-18,2012-07-18,0.964,0.1038
2012-07-19,2012-07-19,0.97,0.6224
2012-07-20,2012-07-20,0.964,-0.6186
2012-07-23,2012-07-23,0.959,-0.5187
2012-07-24,2012-07-24,0.959,0.0
2012-07-25,2012-07-25,0.956,-0.3128
2012-07-26,2012-07-26,0.951,-0.523
2012-07-27,2012-07-27,0.94,-1.1567
2012-07-30,2012-07-30,0.931,-0.9574
2012-07-31,2012-07-31,0.928,-0.3222
2012-08-01,2012-08-01,0.938,1.0776
2012-08-02,2012-08-02,0.939,0.1066
2012-08-03,2012-08-03,0.951,1.278
2012-08-06,2012-08-06,0.968,1.7876
2012-08-07,2012-08-07,0.969,0.1033
2012-08-08,2012-08-08,0.967,-0.2064
2012-08-09,2012-08-09,0.978,1.1375
2012-08-10,2012-08-10,0.974,-0.409
2012-08-13,2012-08-13,0.959,-1.54
2012-08-14,2012-08-14,0.965,0.6257
2012-08-15,2012-08-15,0.96,-0.5181
2012-08-16,2012-08-16,0.947,-1.3542
2012-08-17,2012-08-17,0.945,-0.2112
2012-08-20,2012-08-20,0.948,0.3175
2012-08-21,2012-08-21,0.963,1.5823
2012-08-22,2012-08-22,0.957,-0.6231
2012-08-23,2012-08-23,0.959,0.209
2012-08-24,2012-08-24,0.945,-1.4599
2012-08-27,2012-08-27,0.937,-0.8466
2012-08-28,2012-08-28,0.942,0.5336
2012-08-29,2012-08-29,0.943,0.1062
2012-08-30,2012-08-30,0.921,-2.333
2012-08-31,2012-08-31,0.922,0.1086
2012-09-03,2012-09-03,0.941,2.0607
2012-09-04,2012-09-04,0.938,-0.3188
2012-09-05,2012-09-05,0.945,0.7463
2012-09-06,2012-09-06,0.951,0.6349
2012-09-07,2012-09-07,0.971,2.103
2012-09-10,2012-09-10,0.978,0.7209
