净值日期,净值日期,单位净值,日增长率
2011-01-25,2011-01-25,1.0,0.0
2011-01-28,2011-01-28,1.012,1.2
2011-02-01,2011-02-01,1.018,0.5929
2011-02-11,2011-02-11,1.036,1.7682
2011-02-18,2011-02-18,1.06,2.3166
2011-02-25,2011-02-25,1.054,-0.566
2011-03-04,2011-03-04,1.055,0.0949
2011-03-11,2011-03-11,1.046,-0.8531
2011-03-15,2011-03-15,1.042,-0.3824
2011-03-16,2011-03-16,1.052,0.9597
2011-03-17,2011-03-17,1.041,-1.0456
2011-03-18,2011-03-18,1.044,0.2882
2011-03-21,2011-03-21,1.037,-0.6705
2011-03-22,2011-03-22,1.035,-0.1929
2011-03-23,2011-03-23,1.044,0.8696
2011-03-24,2011-03-24,1.041,-0.2874
2011-03-25,2011-03-25,1.05,0.8646
2011-03-28,2011-03-28,1.044,-0.5714
2011-03-29,2011-03-29,1.027,-1.6284
2011-03-30,2011-03-30,1.021,-0.5842
2011-03-31,2011-03-31,1.012,-0.8815
2011-04-01,2011-04-01,1.024,1.1858
2011-04-06,2011-04-06,1.027,0.293
2011-04-07,2011-04-07,1.034,0.6816
2011-04-08,2011-04-08,1.041,0.677
2011-04-11,2011-04-11,1.032,-0.8646
2011-04-12,2011-04-12,1.025,-0.6783
2011-04-13,2011-04-13,1.032,0.6829
2011-04-14,2011-04-14,1.024,-0.7752
2011-04-15,2011-04-15,1.02,-0.3906
2011-04-18,2011-04-18,1.025,0.4902
2011-04-19,2011-04-19,1.017,-0.7805
2011-04-20,2011-04-20,1.013,-0.3933
2011-04-21,2011-04-21,1.017,0.3949
2011-04-22,2011-04-22,1.01,-0.6883
2011-04-25,2011-04-25,0.993,-1.6832
2011-04-26,2011-04-26,0.982,-1.1078
2011-04-27,2011-04-27,0.974,-0.8147
2011-04-28,2011-04-28,0.952,-2.2587
2011-04-29,2011-04-29,0.966,1.4706
2011-05-03,2011-05-03,0.974,0.8282
2011-05-04,2011-05-04,0.955,-1.9507
2011-05-05,2011-05-05,0.961,0.6283
2011-05-06,2011-05-06,0.963,0.2081
2011-05-09,2011-05-09,0.97,0.7269
2011-05-10,2011-05-10,0.972,0.2062
2011-05-11,2011-05-11,0.969,-0.3086
2011-05-12,2011-05-12,0.961,-0.8256
2011-05-13,2011-05-13,0.958,-0.3122
2011-05-16,2011-05-16,0.953,-0.5219
2011-05-17,2011-05-17,0.953,0.0
2011-05-18,2011-05-18,0.956,0.3148
2011-05-19,2011-05-19,0.952,-0.4184
2011-05-20,2011-05-20,0.948,-0.4202
2011-05-23,2011-05-23,0.922,-2.7426
2011-05-24,2011-05-24,0.922,0.0
2011-05-25,2011-05-25,0.917,-0.5423
2011-05-26,2011-05-26,0.911,-0.6543
2011-05-27,2011-05-27,0.901,-1.0977
2011-05-30,2011-05-30,0.898,-0.333
2011-05-31,2011-05-31,0.908,1.1136
2011-06-01,2011-06-01,0.91,0.2203
2011-06-02,2011-06-02,0.901,-0.989
2011-06-03,2011-06-03,0.911,1.1099
2011-06-07,2011-06-07,0.915,0.4391
2011-06-08,2011-06-08,0.916,0.1093
2011-06-09,2011-06-09,0.897,-2.0742
2011-06-10,2011-06-10,0.898,0.1115
2011-06-13,2011-06-13,0.893,-0.5568
2011-06-14,2011-06-14,0.907,1.5677
2011-06-15,2011-06-15,0.899,-0.882
2011-06-16,2011-06-16,0.886,-1.4461
2011-06-17,2011-06-17,0.877,-1.0158
2011-06-20,2011-06-20,0.864,-1.4823
2011-06-21,2011-06-21,0.875,1.2731
2011-06-22,2011-06-22,0.875,0.0
2011-06-23,2011-06-23,0.894,2.1714
2011-06-24,2011-06-24,0.916,2.4609
2011-06-27,2011-06-27,0.922,0.655
2011-06-28,2011-06-28,0.924,0.2169
2011-06-29,2011-06-29,0.915,-0.974
2011-06-30,2011-06-30,0.928,1.4208
2011-07-01,2011-07-01,0.93,0.2155
2011-07-04,2011-07-04,0.949,2.043
2011-07-05,2011-07-05,0.952,0.3161
2011-07-06,2011-07-06,0.952,0.0
2011-07-07,2011-07-07,0.951,-0.105
2011-07-08,2011-07-08,0.952,0.1052
2011-07-11,2011-07-11,0.96,0.8403
2011-07-12,2011-07-12,0.953,-0.7292
2011-07-13,2011-07-13,0.967,1.469
2011-07-14,2011-07-14,0.974,0.7239
2011-07-15,2011-07-15,0.977,0.308
2011-07-18,2011-07-18,0.975,-0.2047
2011-07-19,2011-07-19,0.962,-1.3333
2011-07-20,2011-07-20,0.963,0.104
2011-07-21,2011-07-21,0.953,-1.0384
2011-07-22,2011-07-22,0.96,0.7345
2011-07-25,2011-07-25,0.933,-2.8125
2011-07-26,2011-07-26,0.933,0.0
2011-07-27,2011-07-27,0.943,1.0718
2011-07-28,2011-07-28,0.943,0.0
2011-07-29,2011-07-29,0.939,-0.4242
2011-08-01,2011-08-01,0.941,0.213
2011-08-02,2011-08-02,0.936,-0.5313
2011-08-03,2011-08-03,0.942,0.641
2011-08-04,2011-08-04,0.943,0.1062
2011-08-05,2011-08-05,0.929,-1.4846
2011-08-08,2011-08-08,0.903,-2.7987
2011-08-09,2011-08-09,0.906,0.3322
2011-08-10,2011-08-10,0.918,1.3245
2011-08-11,2011-08-11,0.931,1.4161
2011-08-12,2011-08-12,0.935,0.4296
2011-08-15,2011-08-15,0.948,1.3904
2011-08-16,2011-08-16,0.941,-0.7384
2011-08-17,2011-08-17,0.936,-0.5313
2011-08-18,2011-08-18,0.918,-1.9231
2011-08-19,2011-08-19,0.913,-0.5447
2011-08-22,2011-08-22,0.903,-1.0953
2011-08-23,2011-08-23,0.915,1.3289
2011-08-24,2011-08-24,0.915,0.0
2011-08-25,2011-08-25,0.935,2.1858
2011-08-26,2011-08-26,0.935,0.0
2011-08-29,2011-08-29,0.925,-1.0695
2011-08-30,2011-08-30,0.92,-0.5405
2011-08-31,2011-08-31,0.918,-0.2174
2011-09-01,2011-09-01,0.911,-0.7625
2011-09-02,2011-09-02,0.905,-0.6586
2011-09-05,2011-09-05,0.888,-1.8785
2011-09-06,2011-09-06,0.879,-1.0135
2011-09-07,2011-09-07,0.895,1.8203
2011-09-08,2011-09-08,0.888,-0.7821
2011-09-09,2011-09-09,0.883,-0.5631
2011-09-13,2011-09-13,0.868,-1.6988
2011-09-14,2011-09-14,0.873,0.576
2011-09-15,2011-09-15,0.873,0.0
2011-09-16,2011-09-16,0.875,0.2291
2011-09-19,2011-09-19,0.861,-1.6
2011-09-20,2011-09-20,0.863,0.2323
2011-09-21,2011-09-21,0.882,2.2016
2011-09-22,2011-09-22,0.859,-2.6077
2011-09-23,2011-09-23,0.851,-0.9313
2011-09-26,2011-09-26,0.829,-2.5852
2011-09-27,2011-09-27,0.832,0.3619
2011-09-28,2011-09-28,0.824,-0.9615
2011-09-29,2011-09-29,0.812,-1.4563
2011-09-30,2011-09-30,0.809,-0.3695
2011-10-10,2011-10-10,0.799,-1.2361
2011-10-11,2011-10-11,0.795,-0.5006
2011-10-12,2011-10-12,0.817,2.7673
2011-10-13,2011-10-13,0.829,1.4688
2011-10-14,2011-10-14,0.827,-0.2413
2011-10-17,2011-10-17,0.833,0.7255
2011-10-18,2011-10-18,0.812,-2.521
2011-10-19,2011-10-19,0.805,-0.8621
2011-10-20,2011-10-20,0.783,-2.7329
2011-10-21,2011-10-21,0.778,-0.6386
2011-10-24,2011-10-24,0.791,1.671
2011-10-25,2011-10-25,0.81,2.402
2011-10-26,2011-10-26,0.822,1.4815
2011-10-27,2011-10-27,0.819,-0.365
2011-10-28,2011-10-28,0.837,2.1978
2011-10-31,2011-10-31,0.843,0.7168
2011-11-01,2011-11-01,0.841,-0.2372
2011-11-02,2011-11-02,0.86,2.2592
2011-11-03,2011-11-03,0.86,0.0
2011-11-04,2011-11-04,0.864,0.4651
2011-11-07,2011-11-07,0.859,-0.5787
2011-11-08,2011-11-08,0.849,-1.1641
2011-11-09,2011-11-09,0.861,1.4134
2011-11-10,2011-11-10,0.854,-0.813
2011-11-11,2011-11-11,0.849,-0.5855
2011-11-14,2011-11-14,0.867,2.1201
2011-11-15,2011-11-15,0.873,0.692
2011-11-16,2011-11-16,0.852,-2.4055
2011-11-17,2011-11-17,0.855,0.3521
2011-11-18,2011-11-18,0.834,-2.4561
2011-11-21,2011-11-21,0.831,-0.3597
2011-11-22,2011-11-22,0.832,0.1203
2011-11-23,2011-11-23,0.832,0.0
2011-11-24,2011-11-24,0.833,0.1202
2011-11-25,2011-11-25,0.834,0.12
2011-11-28,2011-11-28,0.837,0.3597
2011-11-29,2011-11-29,0.847,1.1947
2011-11-30,2011-11-30,0.821,-3.0697
2011-12-01,2011-12-01,0.836,1.827
2011-12-02,2011-12-02,0.822,-1.6746
2011-12-05,2011-12-05,0.796,-3.163
2011-12-06,2011-12-06,0.796,0.0
2011-12-07,2011-12-07,0.798,0.2513
2011-12-08,2011-12-08,0.798,0.0
2011-12-09,2011-12-09,0.788,-1.2531
2011-12-12,2011-12-12,0.781,-0.8883
2011-12-13,2011-12-13,0.763,-2.3047
2011-12-14,2011-12-14,0.753,-1.3106
2011-12-15,2011-12-15,0.742,-1.4608
2011-12-16,2011-12-16,0.761,2.5606
2011-12-19,2011-12-19,0.766,0.657
2011-12-20,2011-12-20,0.761,-0.6527
2011-12-21,2011-12-21,0.748,-1.7083
2011-12-22,2011-12-22,0.743,-0.6684
2011-12-23,2011-12-23,0.745,0.2692
2011-12-26,2011-12-26,0.743,-0.2685
2011-12-27,2011-12-27,0.728,-2.0188
2011-12-28,2011-12-28,0.724,-0.5495
2011-12-29,2011-12-29,0.727,0.4144
2011-12-30,2011-12-30,0.737,1.3755
2011-12-31,2011-12-31,0.737,0.0
2012-01-04,2012-01-04,0.719,-2.4423
2012-01-05,2012-01-05,0.696,-3.1989
2012-01-06,2012-01-06,0.693,-0.431
2012-01-09,2012-01-09,0.706,1.8759
2012-01-10,2012-01-10,0.724,2.5496
2012-01-11,2012-01-11,0.722,-0.2762
2012-01-12,2012-01-12,0.718,-0.554
2012-01-13,2012-01-13,0.698,-2.7855
2012-01-16,2012-01-16,0.682,-2.2923
2012-01-17,2012-01-17,0.707,3.6657
2012-01-18,2012-01-18,0.694,-1.8388
2012-01-19,2012-01-19,0.702,1.1527
2012-01-20,2012-01-20,0.713,1.567
2012-01-30,2012-01-30,0.706,-0.9818
2012-01-31,2012-01-31,0.706,0.0
2012-02-01,2012-02-01,0.7,-0.8499
2012-02-02,2012-02-02,0.713,1.8571
2012-02-03,2012-02-03,0.719,0.8415
2012-02-06,2012-02-06,0.723,0.5563
2012-02-07,2012-02-07,0.712,-1.5214
2012-02-08,2012-02-08,0.725,1.8258
2012-02-09,2012-02-09,0.726,0.1379
2012-02-10,2012-02-10,0.726,0.0
2012-02-13,2012-02-13,0.73,0.551
2012-02-14,2012-02-14,0.727,-0.411
2012-02-15,2012-02-15,0.734,0.9629
2012-02-16,2012-02-16,0.733,-0.1362
2012-02-17,2012-02-17,0.731,-0.2729
2012-02-20,2012-02-20,0.733,0.2736
2012-02-21,2012-02-21,0.739,0.8186
2012-02-22,2012-02-22,0.751,1.6238
2012-02-23,2012-02-23,0.751,0.0
2012-02-24,2012-02-24,0.756,0.6658
2012-02-27,2012-02-27,0.759,0.3968
2012-02-28,2012-02-28,0.757,-0.2635
2012-02-29,2012-02-29,0.749,-1.0568
2012-03-01,2012-03-01,0.751,0.267
2012-03-02,2012-03-02,0.766,1.9973
2012-03-05,2012-03-05,0.763,-0.3916
2012-03-06,2012-03-06,0.754,-1.1796
2012-03-07,2012-03-07,0.749,-0.6631
2012-03-08,2012-03-08,0.757,1.0681
2012-03-09,2012-03-09,0.764,0.9247
2012-03-12,2012-03-12,0.764,0.0
2012-03-13,2012-03-13,0.77,0.7853
2012-03-14,2012-03-14,0.748,-2.8571
2012-03-15,2012-03-15,0.744,-0.5348
2012-03-16,2012-03-16,0.757,1.7473
2012-03-19,2012-03-19,0.76,0.3963
2012-03-20,2012-03-20,0.746,-1.8421
2012-03-21,2012-03-21,0.745,-0.134
