净值日期,净值日期,单位净值,日增长率
2003-04-25,2003-04-25,1.0,0.0
2003-06-11,2003-06-11,1.0082,0.82
2003-06-12,2003-06-12,1.0071,-0.1091
2003-06-13,2003-06-13,1.0082,0.1092
2003-06-16,2003-06-16,1.0049,-0.3273
2003-06-17,2003-06-17,1.0025,-0.2388
2003-06-18,2003-06-18,1.0012,-0.1297
2003-06-19,2003-06-19,0.9951,-0.6093
2003-06-20,2003-06-20,0.9915,-0.3618
2003-06-23,2003-06-23,0.9874,-0.4135
2003-06-24,2003-06-24,0.988,0.0608
2003-06-25,2003-06-25,0.9826,-0.5466
2003-06-26,2003-06-26,0.9874,0.4885
2003-06-27,2003-06-27,0.9818,-0.5671
2003-06-30,2003-06-30,0.9825,0.0713
2003-07-01,2003-07-01,0.9835,0.1018
2003-07-02,2003-07-02,0.9896,0.6202
2003-07-03,2003-07-03,0.9909,0.1314
2003-07-04,2003-07-04,0.9933,0.2422
2003-07-07,2003-07-07,0.9964,0.3121
2003-07-08,2003-07-08,0.9971,0.0703
2003-07-09,2003-07-09,0.9949,-0.2206
2003-07-10,2003-07-10,1.0076,1.2765
2003-07-11,2003-07-11,1.0068,-0.0794
2003-07-14,2003-07-14,1.0074,0.0596
2003-07-15,2003-07-15,1.0117,0.4268
2003-07-16,2003-07-16,1.0158,0.4053
2003-07-17,2003-07-17,1.0245,0.8565
2003-07-18,2003-07-18,1.0101,-1.4056
2003-07-21,2003-07-21,1.0104,0.0297
2003-07-22,2003-07-22,1.0117,0.1287
2003-07-23,2003-07-23,1.0131,0.1384
2003-07-24,2003-07-24,1.0111,-0.1974
2003-07-25,2003-07-25,1.0002,-1.078
2003-07-28,2003-07-28,0.9989,-0.13
2003-07-29,2003-07-29,1.0033,0.4405
2003-07-30,2003-07-30,1.0069,0.3588
2003-07-31,2003-07-31,1.0066,-0.0298
2003-08-01,2003-08-01,1.0023,-0.4272
2003-08-04,2003-08-04,1.0111,0.878
2003-08-05,2003-08-05,1.0098,-0.1286
2003-08-06,2003-08-06,1.0061,-0.3664
2003-08-07,2003-08-07,1.0081,0.1988
2003-08-08,2003-08-08,1.0015,-0.6547
2003-08-11,2003-08-11,1.0028,0.1298
2003-08-12,2003-08-12,1.0054,0.2593
2003-08-13,2003-08-13,0.9969,-0.8454
